,feature,global_morans_i,global_p_value,global_z_score,mean_local_i,significant_clusters,percent_significant
1744,state_pop_approx,0.9161277833741402,0.001,84.21696067156773,0.9158323535826622,1394,44.953240890035474
1743,state_electoral_votes,0.9142653744069171,0.001,83.84677905070191,0.9139705451987884,1379,44.46952595936794
1676,fips,0.8837839482305356,0.001,80.997877369177,0.8834989485697068,1749,56.4011609158336
1375,fips_code,0.8837839482305356,0.001,83.67032635185582,0.8834989485697068,1697,54.7242824895195
7,FIPS Code,0.8837839482305356,0.001,82.7943941511603,0.8834989485697068,1712,55.20799742018704
1702,religion_church_of_jesus_christ_of_latter_day_saints_percent_adherents_of_total_adherents,0.8231316902872846,0.001,77.19140506531306,0.8228662495616195,488,15.736859077716867
1715,religion_southern_baptist_convention_percent_adherents_of_total_adherents,0.820524112604531,0.001,76.59172730476062,0.8202595127617044,2166,69.84843598839085
1136,hispanic_or_latino_of_any_race_nonveterans_2012,0.8104797985816751,0.001,76.69009642338814,0.8102184377952892,1141,36.794582392776526
1134,hispanic_or_latino_of_any_race_total_2012,0.8093119364120336,0.001,76.52155315356077,0.8090509522338936,1185,38.2134795227346
1722,religion_church_of_jesus_christ_of_latter_day_saints_percent_adherents_of_total_population,0.7909900506957954,0.001,73.57233836980916,0.7907349748974416,383,12.35085456304418
1356,pct_Black or African American alone_2012,0.7861031095127348,0.001,73.24233294141717,0.7858496096386576,1494,48.17800709448565
1118,black_or_african_american_nonveterans_2012,0.7860691932748851,0.001,75.40701341035141,0.7858157043380017,1478,47.66204450177362
1116,black_or_african_american_total_2012,0.7837850301880456,0.001,71.6891384373103,0.7835322778403551,1469,47.37181554337311
1370,pct_Black or African American alone_2020,0.7829575934932843,0.001,72.3844393543776,0.7827051079745829,1479,47.694292163818126
1363,pct_Black or African American alone_2016,0.7828141630061008,0.001,74.38283812254544,0.782561723740378,1461,47.11383424701709
1135,hispanic_or_latino_of_any_race_veterans_2012,0.7789353689453666,0.001,71.59311205107157,0.7786841805000441,729,23.508545630441795
880,2000_or_more_owner_occupied_housing_units_2012,0.7755649165945381,0.001,72.53989125743132,0.7753148150412988,1144,36.891325378910025
897,30_percent_or_more_owner_occupied_housing_units_2012,0.7748645278868046,0.001,72.33301051980654,0.7746146521925491,994,32.05417607223476
885,median_dollars_owner_occupied_housing_units_2012,0.7645092977585509,0.001,72.82366578878695,0.7642627613839109,1157,37.310544985488555
988,30_percent_or_more_owner_occupied_housing_units_2016,0.7510320506400223,0.001,70.90883259984429,0.750789860362486,776,25.024185746533377
884,median_dollars_occupied_housing_units_2012,0.7459193547849197,0.001,65.67367792512596,0.745678813232264,1197,38.60045146726862
879,2000_or_more_occupied_housing_units_2012,0.7411543798333817,0.001,66.54432005410186,0.740915374873745,1070,34.5049983876169
977,median_dollars_occupied_housing_units_2016,0.7378758855096905,0.001,68.77941686814667,0.7376379377878234,1107,35.69816188326346
896,30_percent_or_more_occupied_housing_units_2012,0.7372011833970133,0.001,67.53916108977118,0.7369634532508034,1020,32.892615285391805
886,median_dollars_renter_occupied_housing_units_2012,0.7349356437370498,0.001,67.58376210792241,0.734698644174413,1181,38.08448887455659
1705,religion_evangelical_lutheran_church_in_america_percent_adherents_of_total_adherents,0.7288803642535243,0.001,70.22150740051998,0.728645317376951,1211,39.05191873589165
970,2500_to_2999_owner_occupied_housing_units_2016,0.7248369826582369,0.001,67.58559704502105,0.7246032396776959,926,29.86133505320864
973,3000_or_more_owner_occupied_housing_units_2016,0.7230878079591957,0.001,70.80534423986305,0.7228546290466,701,22.605611093195744
894,20_to_29_percent_owner_occupied_housing_units_2012,0.7188808968788117,0.001,66.41679728182164,0.7186490745966837,1124,36.24637213801999
985,20_to_29_percent_owner_occupied_housing_units_2016,0.718487796308902,0.001,69.35348395457865,0.7182561007925174,1059,34.15027410512737
987,30_percent_or_more_occupied_housing_units_2016,0.7178721154578025,0.001,68.39193179769207,0.7176406184840981,851,27.44276039987101
1117,black_or_african_american_veterans_2012,0.7156355835067926,0.001,65.82515787286223,0.715404807762353,1421,45.82392776523702
1139,white_alone_not_hispanic_or_latino_nonveterans_2012,0.7138221432925913,0.001,67.14865045869539,0.7135919523402233,1587,51.17703966462431
984,20_to_29_percent_occupied_housing_units_2016,0.7137107823691259,0.001,64.66441075728959,0.7134806273280525,1095,35.31118993872944
1137,white_alone_not_hispanic_or_latino_total_2012,0.7102566259575345,0.001,64.22476217812688,0.7100275848011468,1571,50.66107707191229
54,Unemployment_rate_2010,0.7088422287767708,0.001,65.61899410354849,0.7086136437304063,1328,42.82489519509836
893,20_to_29_percent_occupied_housing_units_2012,0.7083922677554656,0.001,64.8811380240294,0.7081638278110106,1174,37.85875524024508
1725,religion_evangelical_lutheran_church_in_america_percent_adherents_of_total_population,0.7039061354110981,0.001,63.687228219363995,0.7036791421394403,1161,37.43953563366656
58,Unemployment_rate_2011,0.7032363553202844,0.001,65.44776315725254,0.7030095780370464,1231,39.696871976781686
967,2000_to_2499_owner_occupied_housing_units_2016,0.7013879520405041,0.001,63.69728518219908,0.7011617708241092,1003,32.34440503063528
62,Unemployment_rate_2012,0.7002795107905265,0.001,67.01460755940188,0.7000536870205198,1295,41.760722347629795
966,2000_to_2499_occupied_housing_units_2016,0.6991211636910665,0.001,63.58098558464082,0.6988957134609177,1032,33.27958722992583
969,2500_to_2999_occupied_housing_units_2016,0.6985526072594511,0.001,66.06385552390374,0.6983273403754588,912,29.409867784585618
1700,religion_catholic_church_percent_adherents_of_total_adherents,0.6971731408106371,0.001,63.285059356816014,0.6969483187723234,1522,49.0809416317317
50,Unemployment_rate_2009,0.695213217022446,0.001,63.79878937663846,0.6949890270137318,1353,43.6310867462109
16,ALAND,0.6940624518500733,0.001,65.35779501072174,0.6938386329362229,975,31.44147049338923
878,1500_to_1999_renter_occupied_housing_units_2012,0.6937264474961854,0.001,65.16814518964406,0.6935027369358835,771,24.86294743631087
875,1000_to_1499_renter_occupied_housing_units_2012,0.687582496501219,0.001,62.429391697428365,0.6873607672214703,1227,39.567881328603676
876,1500_to_1999_occupied_housing_units_2012,0.687106317112095,0.001,64.72727050029813,0.6868847413890662,1382,44.566268945501456
1115,white_nonveterans_2012,0.681654117746597,0.001,61.3280853449335,0.6814343002303938,1379,44.46952595936794
963,1500_to_1999_occupied_housing_units_2016,0.6816356173553116,0.001,60.49471122989644,0.6814158058050518,1242,40.05159625927121
573,55_to_64_years_employed_2012,0.6811811107993114,0.001,64.39024717800481,0.6809614458167899,1340,43.211867139632375
1113,white_total_2012,0.679432925717215,0.001,62.99715410091942,0.6792138244835106,1394,44.953240890035474
972,3000_or_more_occupied_housing_units_2016,0.6769494984579061,0.001,63.92235210746627,0.6767311980714315,686,22.121896162528216
572,55_to_64_years_labor_force_2012,0.6744595435244616,0.001,62.61097687955001,0.674242046090239,1337,43.115124153498876
1360,pct_White alone_2012,0.6743564871451514,0.001,62.98261104059171,0.6741390229442017,1435,46.27539503386004
949,less_than_300_owner_occupied_housing_units_2016,0.673480771752238,0.001,60.32798698085878,0.6732635899490285,1266,40.82554014833924
965,1500_to_1999_renter_occupied_housing_units_2016,0.6721576467509945,0.001,62.7961727500463,0.671940891624664,853,27.50725572396001
66,Unemployment_rate_2013,0.6691839841720915,0.001,62.96317126035532,0.6689681879824196,1233,39.76136730087069
1723,religion_churches_of_christ_percent_adherents_of_total_population,0.6676410368991178,0.001,62.64313607929505,0.6674257382738682,1236,39.858110287004195
703,At_or_above_the_poverty_level_employed_2016,0.666920273290157,0.001,61.87867104249065,0.6667052070943202,1292,41.66397936149629
70,Unemployment_rate_2014,0.6641637763934999,0.001,63.72551547991623,0.6639495991034664,1311,42.27668494034182
1367,pct_White alone_2016,0.6636105601117079,0.001,62.34264152399279,0.6633965612209914,1441,46.468881006127056
877,1500_to_1999_owner_occupied_housing_units_2012,0.6626808151916146,0.001,63.71714334235047,0.6624671161218978,1314,42.37342792647533
608,Female_employed_2012,0.6624773867217569,0.001,61.49303555530245,0.6622637532529657,1275,41.11576910673976
46,Unemployment_rate_2008,0.6623266926396076,0.001,62.43501545286034,0.6621131077661346,1319,42.53466623669784
688,Female_employed_2016,0.6614404838382605,0.001,58.65272861429519,0.6612271847464068,1319,42.53466623669784
1374,pct_White alone_2020,0.6596762351232366,0.001,62.07536424958272,0.6594635049603461,1462,47.14608190906159
968,2000_to_2499_renter_occupied_housing_units_2016,0.6577452026168806,0.001,62.67026078048022,0.6575330951668269,553,17.83295711060948
702,At_or_above_the_poverty_level_labor_force_2016,0.6558920504374973,0.001,61.78668112202494,0.6556805405856956,1202,38.761689777491135
841,median_household_income_dollars_owner_occupied_housing_units_2012,0.6548730182094137,0.001,61.90281666292121,0.654661836971681,991,31.957433086101254
1539,INDUSTRY_manufacturing_percent_2016,0.6517797578371379,0.001,60.61641291215589,0.6515695741035562,1300,41.9219606578523
964,1500_to_1999_owner_occupied_housing_units_2016,0.651624338631394,0.001,58.769031546838846,0.6514142050168724,1241,40.0193485972267
1639,INDUSTRY_manufacturing_percent_2020,0.6484677684269002,0.001,59.988782169803635,0.6482586527324705,1302,41.98645598194131
607,Female_labor_force_2012,0.6436562720463688,0.001,61.21779849886453,0.643448707947031,1305,42.08319896807481
895,20_to_29_percent_renter_occupied_housing_units_2012,0.6420156153104014,0.001,61.60924275639422,0.6418085802845032,784,25.28216704288939
1138,white_alone_not_hispanic_or_latino_veterans_2012,0.6417887612387854,0.001,59.190981102456476,0.6415817993680215,1412,45.533698806836505
1439,INDUSTRY_manufacturing_percent_2012,0.6406402971916654,0.001,60.448886891623836,0.640433705673706,1332,42.95388584327636
850,200_to_299_owner_occupied_housing_units_2012,0.6400252445506317,0.001,60.93928950446259,0.6398188513727695,1283,41.37375040309578
1153,some_college_or_associate's_degree_nonveterans_2012,0.6399482746445276,0.001,59.23970158121566,0.6397419062876605,1253,40.40632054176072
962,1000_to_1499_renter_occupied_housing_units_2016,0.6398691971101885,0.001,60.19537816458785,0.6396628542539775,1224,39.47113834247017
687,Female_labor_force_2016,0.6387215353283736,0.001,56.2276299321236,0.6385155625662555,1265,40.79329248629474
951,300_to_499_occupied_housing_units_2016,0.6382216852879513,0.001,60.24638875762211,0.6380158737157848,1089,35.11770396646243
948,less_than_300_occupied_housing_units_2016,0.6381051283070037,0.001,58.18868116524742,0.6378993543217386,1259,40.59980651402773
74,Unemployment_rate_2015,0.6375714297931168,0.001,59.97148216481868,0.6373658279131448,1287,41.50274105127379
1147,less_than_high_school_graduate_nonveterans_2012,0.6362122799775882,0.001,58.0270932378222,0.6360071163916553,1473,47.50080619155111
952,300_to_499_owner_occupied_housing_units_2016,0.6349415360007002,0.001,59.60567157537732,0.6347367821999906,1006,32.441148016768786
676,White_alone_not_Hispanic_or_Latino_employed_2016,0.6344976948810576,0.001,57.268814434313,0.6342930842087322,1404,45.27571751048049
986,20_to_29_percent_renter_occupied_housing_units_2016,0.6309018176743705,0.001,60.61102553441134,0.6306983665883744,752,24.250241857465333
42,Unemployment_rate_2007,0.6308631071730554,0.001,60.50858893942576,0.6306596685702908,1228,39.60012899064817
98,Unemployment_rate_2021,0.6306676729044736,0.001,60.55590108320326,0.6304642973246914,1248,40.24508223153821
994,75000_or_more_owner_occupied_housing_units_2016,0.6306660097957429,0.001,57.47981326098802,0.6304626347522746,1049,33.82779748468236
124,CI90LBINC_2021,0.6283489557386696,0.001,56.943681918145494,0.6281463278909627,1046,33.73105449854886
903,75000_or_more_owner_occupied_housing_units_2012,0.6279420716513677,0.001,57.47802530835832,0.6277395750142665,1017,32.795872299258306
1151,some_college_or_associate's_degree_total_2012,0.6275819614059334,0.001,57.745800457196644,0.627379580895967,1199,38.66494679135762
1735,religion_southern_baptist_convention_percent_adherents_of_total_population,0.626648204903075,0.001,58.05518249751705,0.62644612550775,1938,62.49596904224444
1145,less_than_high_school_graduate_total_2012,0.6264636122003283,0.001,56.87277867018415,0.6262615923318343,1351,43.566591422121896
847,100_to_199_owner_occupied_housing_units_2012,0.6262107845284617,0.001,57.72396888269019,0.6260088461909806,1205,38.85843276362464
665,White_alone_employed_2016,0.6243361752895853,0.001,57.93451443286073,0.6241348414697563,1329,42.857142857142854
12,"Percent of adults with less than a high school diploma, 2008-12",0.6239006568638213,0.001,57.12726010658036,0.6236994634885022,1372,44.24379232505643
78,Unemployment_rate_2016,0.6227357817037894,0.001,59.89402597822056,0.6225349639734755,1186,38.245727184779106
116,CI90UB017P_2021,0.6220231871521947,0.001,54.63898693418163,0.6218225992169636,1237,39.89035794904869
1597,INDUSTRY_agriculture_forestry_fishing_and_hunting_and_mining_percent_2020,0.6219823303569456,0.001,58.50368489093318,0.6217817555970755,1226,39.53563366655917
14,"Percent of adults completing some college or associate's degree, 2008-12",0.6219586752613442,0.001,56.23993417670278,0.6217581081296893,1177,37.95549822637859
3,per_dem_2012,0.6215691541037522,0.001,58.714758038897855,0.621368712583564,1237,39.89035794904869
102,Unemployment_rate_2022,0.6214206822483584,0.001,58.11220495852238,0.6212202886068722,1232,39.729119638826184
945,150000_or_more_owner_occupied_housing_units_2016,0.6213265154099459,0.001,59.47370867217031,0.6211261521350636,827,26.668816510802966
6,per_point_diff_2012,0.6212650625930233,0.001,59.216549439089164,0.6210647191352378,1197,38.60045146726862
4,per_gop_2012,0.62098426365731,0.001,58.635707881737844,0.6207840107506163,1187,38.277974846823604
94,Unemployment_rate_2020,0.6203827145289342,0.001,58.54718910232195,0.6201826556077704,1175,37.891002902289586
947,median_household_income_dollars_occupied_housing_units_2016,0.620123447963941,0.001,56.56985739436917,0.619923472650183,1022,32.95711060948081
596,White_alone_not_Hispanic_or_Latino_employed_2012,0.6201083210838625,0.001,59.67993292783082,0.6199083506481697,1268,40.89003547242825
122,CI90UB517P_2021,0.6196769128661089,0.001,58.59139123027574,0.61947708154948,1275,41.11576910673976
838,150000_or_more_owner_occupied_housing_units_2012,0.6181666459692857,0.001,57.11912004942738,0.6179673016784217,779,25.12092873266688
1497,INDUSTRY_agriculture_forestry_fishing_and_hunting_and_mining_percent_2016,0.6178442026298533,0.001,56.29527177000888,0.6176449623194279,1220,39.342147694292166
840,median_household_income_dollars_occupied_housing_units_2012,0.6168930528081505,0.001,57.54298743150139,0.6166941192213049,945,30.474040632054177
993,75000_or_more_occupied_housing_units_2016,0.6162754961326887,0.001,56.61525222082486,0.6160767616934327,1142,36.82683005482102
110,CI90UBALLP_2021,0.6154491175866549,0.001,58.5982046535671,0.6152506496351596,1192,38.43921315704611
123,MEDHHINC_2021,0.6146391188804269,0.001,58.980946299165275,0.6144409121345771,1033,33.311834891970335
103,Median_Household_Income_2021,0.6146391188804269,0.001,58.243874067294556,0.6144409121345771,974,31.409222831344728
1094,female_nonveterans_2012,0.6138093658670656,0.001,57.66431800762592,0.6136114266971632,984,31.731699451789748
902,75000_or_more_occupied_housing_units_2012,0.6130856613589865,0.001,58.05846133849005,0.612887955566868,1010,32.57013866494679
635,Population_16_years_and_over_employed_2016,0.6112839724215817,0.001,54.756996955593245,0.611086847632023,1339,43.17961947758788
849,200_to_299_occupied_housing_units_2012,0.6111039188853976,0.001,58.188329502364965,0.6109068521588948,1303,42.01870364398581
114,PCTPOV017_2021,0.6108047110349173,0.001,57.88016272026722,0.610607740795951,1210,39.01967107384714
585,White_employed_2012,0.6086732326952222,0.001,56.525402431104816,0.6084769498081876,1308,42.179941954208324
657,60_to_64_years_employed_2016,0.6083944102749429,0.001,56.84971762517432,0.6081982173016196,1241,40.0193485972267
